0, 0, Header, 1, 2, 256
1, 0, Start_track
1, 0, Time_signature, 4, 2, 24, 8
1, 0, Key_signature, 0, "major"
1, 0, Tempo, 750000
1, 0, Title_t, "Greensleeves"
1, 0, Text_t, "Traditional"
1, 0, Copyright_t, "Jim Paterson"
1, 8192, Tempo, 750000
1, 8192, Time_signature, 2, 2, 24, 8
1, 19712, Tempo, 769230
1, 19968, Tempo, 789472
1, 20480, Tempo, 833332
1, 20481, End_track
2, 0, Start_track
2, 0, Program_c, 0, 0
2, 0, Control_c, 0, 121, 0
2, 0, Control_c, 0, 64, 0
2, 0, Control_c, 0, 10, 63
2, 0, Control_c, 0, 7, 89
2, 0, Note_on_c, 0, 76, 65
2, 0, Control_c, 0, 121, 0
2, 0, Control_c, 0, 64, 0
2, 0, Control_c, 0, 10, 63
2, 0, Control_c, 0, 7, 127
2, 0, Title_t, "Piano"
2, 0, Note_on_c, 0, 45, 49
2, 128, Note_off_c, 0, 76, 0
2, 128, Note_on_c, 0, 76, 74
2, 128, Note_on_c, 0, 52, 45
2, 256, Note_off_c, 0, 76, 0
2, 256, Note_on_c, 0, 76, 69
2, 384, Note_off_c, 0, 76, 0
2, 384, Note_on_c, 0, 76, 70
2, 384, Note_off_c, 0, 52, 0
2, 384, Note_on_c, 0, 52, 51
2, 512, Note_off_c, 0, 76, 0
2, 512, Note_on_c, 0, 74, 70
2, 512, Note_off_c, 0, 45, 0
2, 512, Note_on_c, 0, 45, 50
2, 640, Note_off_c, 0, 52, 0
2, 640, Note_on_c, 0, 52, 49
2, 768, Note_off_c, 0, 74, 0
2, 768, Note_on_c, 0, 72, 70
2, 896, Note_off_c, 0, 72, 0
2, 896, Note_on_c, 0, 72, 71
2, 896, Note_off_c, 0, 52, 0
2, 896, Note_on_c, 0, 52, 49
2, 1024, Note_off_c, 0, 72, 0
2, 1024, Note_on_c, 0, 71, 69
2, 1024, Note_off_c, 0, 45, 0
2, 1024, Note_off_c, 0, 52, 0
2, 1024, Note_on_c, 0, 45, 50
2, 1152, Note_on_c, 0, 52, 48
2, 1280, Note_off_c, 0, 71, 0
2, 1280, Note_on_c, 0, 69, 72
2, 1408, Note_off_c, 0, 52, 0
2, 1408, Note_on_c, 0, 52, 48
2, 1664, Note_off_c, 0, 52, 0
2, 1664, Note_on_c, 0, 52, 52
2, 1920, Note_off_c, 0, 52, 0
2, 1920, Note_on_c, 0, 52, 49
2, 2048, Note_off_c, 0, 69, 0
2, 2048, Note_on_c, 0, 76, 81
2, 2048, Note_off_c, 0, 45, 0
2, 2048, Note_off_c, 0, 52, 0
2, 2048, Note_on_c, 0, 45, 55
